Name,Address,Bedroom,Bathroom,Total_area,Price
"Apartemen Westmark, 50m2, 2kt, 1km, View City","Tanjung Duren, Jakarta Barat",2,1,50 m²," 1,200,000,000"
DI JUAL APARTEMEN DI KALIBATA CITY,"Kalibata, Jakarta Selatan",2,1,36 m²," 360,000,000"
Apartemen di Pejaten,"Pejaten, Jakarta Selatan",2,1,48 m²," 850,000,000"
Apartemen dijual Bellagio 400m2 Penthouse 2 unit Lux Full Furnish,"SetiaBudi, Jakarta Selatan",5,4,400 m²," 13,000,000,000"
Aparthouse 3 lantai di Kemang hanya 880 jutaan? 2 Kamar tidur + Carport,"Kemang, Jakarta Selatan",2,2,32 m²," 880,000,000"
dijuak Apartemen Bassura City furnished  (Harga Nego),"Cipinang, Jakarta Timur",2,1,34 m²," 545,000,000"
Dijual Apartemen Cervino Tebet 3 Bed Hoek View Kokas Kuningan Full Furnish,"Tebet, Jakarta Selatan",3,2,90 m²," 1,650,000,000"
Apartment murah belakang pondok indah,"Pesanggrahan, Jakarta Selatan",1,1,21 m²," 300,000,000"
Belleza Apartment Permata Hijau,"Permata Hijau, Jakarta Selatan",3,4,101 m²," 3,500,000,000"
Di Jual Apartment Pik 2 Tokyo Riverside Uk 36m2 2br View Garden,"Pantai Indah Kapuk, Jakarta Utara",2,1,36 m²," 430,000,000"
Apartemen 3 kmr twr E Gading Resort Residence Kelapa Gading Murah Lantai Rendah,"Kelapa Gading Barat, Jakarta Utara",4,3,108 m²," 1,600,000,000"
"DI JUAL APARTEMEN JAKARTA PUSAT DENGAN VIEW GOLF, LAUT DAN CITY","Kemayoran, Jakarta Pusat",2,2,93 m²," 2,400,000,000"
Dijual 1 Bedroom Apartemen Ancol Mansion,"Ancol, Jakarta Utara",1,1,57 m²," 975,000,000"
Dijual Apartemen Siap Huni Di Casablanca East Residence Pondok Bambu D,"Pondok Bambu, Jakarta Timur",2,1,38 m²," 300,000,000"
Jual Rugi Apartemen Tokyo Riverside PIK 2 Type Studio Harga 250jt,"Pantai Indah Kapuk, Jakarta Utara",1,1,21 m²," 250,000,000"
Apt 1kamar tidur d ancol mansion bu,"Pademangan, Jakarta Utara",1,1,67 m²," 1,400,000,000"
